                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6573,                0.55069,                0.95152,                0.93338,                 0.8165,                0.93796,                0.77163,                 0.6976,                0.59787,                0.94411,              0.0004085,              0.0004085,              0.0004085
                     37,                0.64747,                0.52554,                0.93934,                0.82549,                0.89515,                0.94403,                0.74632,                0.72053,                0.56429,                0.92112,             0.00038375,             0.00038375,             0.00038375
                     38,                0.66346,                0.55132,                 0.9503,                0.90396,                0.85334,                0.93398,                0.73913,                 0.7795,                0.56862,                0.98703,               0.000359,               0.000359,               0.000359
                     39,                0.63099,                0.52692,                0.94089,                0.92313,                 0.8637,                0.94892,                 0.7605,                0.69026,                0.51871,                0.93743,             0.00033425,             0.00033425,             0.00033425
                     40,                0.63125,                0.52023,                0.94086,                0.89748,                 0.9096,                 0.9578,                0.76973,                0.73811,                0.52087,                 0.9534,              0.0003095,              0.0003095,              0.0003095
                     41,                0.56138,                0.47335,                0.92103,                0.86009,                0.87408,                0.92628,                0.74975,                0.75477,                0.60268,                0.96894,             0.00028475,             0.00028475,             0.00028475
                     42,                0.56002,                0.45225,                0.91793,                0.90519,                0.87107,                0.92216,                0.75508,                  0.731,                 0.5931,                0.95443,                0.00026,                0.00026,                0.00026
                     43,                0.54374,                0.43944,                0.90555,                0.85817,                0.87622,                0.92437,                0.75257,                0.77206,                0.57289,                0.98274,             0.00023525,             0.00023525,             0.00023525
                     44,                0.54061,                 0.4283,                0.90843,                0.90462,                0.85232,                0.92552,                0.76419,                0.75486,                0.56588,                0.97042,              0.0002105,              0.0002105,              0.0002105
                     45,                0.51441,                 0.4098,                0.89074,                0.89526,                0.85878,                0.92564,                0.76457,                0.73982,                0.55716,                0.96838,             0.00018575,             0.00018575,             0.00018575
                     46,                0.52112,                0.40524,                0.89591,                0.91272,                0.85744,                0.92947,                0.76359,                0.70452,                0.55653,                0.93211,               0.000161,               0.000161,               0.000161
                     47,                0.50841,                0.39493,                0.89522,                0.92608,                0.83491,                0.92847,                0.76435,                0.70344,                0.55919,                0.93418,             0.00013625,             0.00013625,             0.00013625
                     48,                0.50875,                0.39809,                0.89317,                0.89225,                0.86912,                0.93824,                0.76899,                0.67876,                0.53688,                 0.9065,              0.0001115,              0.0001115,              0.0001115
                     49,                0.49899,                0.39176,                0.88809,                0.91871,                0.85021,                0.93349,                0.76416,                0.69669,                0.54366,                0.93933,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 0.4896,                0.37808,                0.88687,                0.91322,                  0.846,                0.92476,                0.75984,                0.69336,                0.53467,                0.93224,                6.2e-05,                6.2e-05,                6.2e-05
