                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87617,                 2.1616,                 1.7332,                 1.1966,                0.84519,                0.69832,                0.80616,                0.57224,                0.79694,                 0.7093,                0.79687,                0.55768,                 0.8714,                 1.5195,                 2.0216,                 1.3811,             0.00065185,             0.00065185,             0.00065185
                      2,                 0.9077,                 1.7397,                 1.2444,                 1.2208,                0.65389,                0.80233,                0.79955,                 0.4457,                0.65497,                0.80233,                0.78276,                0.56069,                 1.2184,                 1.6174,                   1.77,                 2.1182,              0.0012315,              0.0012315,              0.0012315
                      3,                0.97923,                  1.854,                 1.2309,                  1.273,                0.56049,                0.68605,                0.60066,                0.37837,                0.55519,                0.65311,                0.58974,                 0.4097,                 1.3166,                 1.7322,                  1.848,                 1.8102,              0.0017231,              0.0017231,              0.0017231
